Project_ID,Project_Name,Task_Name,Start_Date,End_Date,Actual_Completion_Date,Estimated_Days,Actual_Days,Idle_Time,Status,Budget,Complexity_Level,Risk_Type,Likelihood,Impact_Level,Resource_Allocated,Efficiency
P001,E-commerce Platform,Deployment,2023-01-06,2023-04-23,2023-05-05,107,108.0,3.0,In Progress,177395,High,Budget Overrun,88,High,Designer,96
P002,Bridge Construction,Foundation Work,2023-04-30,2023-07-01,,62,,,Completed,1477725,Very High,Weather Issues,73,High,Developer,76
P003,Office Construction,Development Phase,2023-07-25,2023-11-04,,102,,,Not Started,1295577,Low,Resource Unavailability,52,Low,Tester,75
P004,Bridge Construction,Framing,2023-11-24,2024-01-20,2024-01-22,57,67.0,5.0,In Progress,1374284,Medium,Skill Gap,84,Low,Excavator,96
P005,Mobile App Development,Framing,2023-03-31,2023-07-21,2023-07-21,112,112.0,3.0,Not Started,871146,Medium,Equipment Breakdown,56,Low,Tester,95
P006,E-commerce Platform,Roofing,2023-06-12,2023-09-03,,83,,,In Progress,1255160,Low,Requirement Uncertainty,44,Medium,Engineer,86
P007,Software Development,Site Preparation,2023-11-15,2023-12-25,2024-01-05,40,41.0,5.0,Not Started,1773224,High,Budget Overrun,64,High,Crane,77
P008,Bridge Construction,Structural Design,2023-12-05,2024-01-14,2024-01-21,40,43.0,0.0,Completed,782700,Low,Material Delays,86,Medium,Tester,88
P009,Office Construction,Site Preparation,2023-03-08,2023-06-06,2023-06-08,90,98.0,0.0,In Progress,643948,Very High,Equipment Breakdown,69,High,Designer,70
P010,Mobile App Development,Site Preparation,2023-04-11,2023-06-27,,77,,,Not Started,144078,Very High,Requirement Uncertainty,48,Low,Developer,89
P011,Mobile App Development,Requirement Analysis,2023-12-21,2024-04-11,2024-04-21,112,113.0,4.0,In Progress,438775,Low,Equipment Breakdown,53,Low,Designer,79
P012,Mobile App Development,System Design,2023-02-01,2023-03-21,2023-04-03,48,49.0,3.0,Completed,212444,Very High,Resource Unavailability,69,Low,Tester,93
P013,Mobile App Development,Framing,2023-09-15,2023-12-10,,86,,,In Progress,641715,Very High,Material Delays,49,High,Engineer,80
P014,Software Development,System Design,2023-10-01,2023-12-23,2023-12-30,83,85.0,3.0,Not Started,1969920,Medium,Requirement Uncertainty,57,Medium,Developer,95
P015,Software Development,System Design,2023-07-11,2023-11-07,,119,,,Completed,1241844,Very High,Budget Overrun,42,High,Tester,98
P016,Software Development,Site Preparation,2023-04-29,2023-06-10,,42,,,Completed,108660,Medium,Material Delays,85,High,Tester,96
P017,Bridge Construction,Foundation Work,2023-11-04,2024-01-13,,70,,,In Progress,1253833,Very High,Weather Issues,81,Low,Excavator,98
P018,Software Development,Site Preparation,2023-04-14,2023-07-08,2023-07-19,85,95.0,4.0,Completed,127988,Medium,Budget Overrun,58,Low,Crane,83
P019,Office Construction,Framing,2023-12-16,2024-04-11,,117,,,Not Started,521063,High,Skill Gap,52,High,Crane,91
P020,Bridge Construction,System Design,2023-04-28,2023-06-14,2023-06-23,47,51.0,3.0,Completed,555175,Medium,Equipment Breakdown,56,High,Designer,94
P021,Bridge Construction,Deployment,2023-11-24,2024-01-06,,43,,,Not Started,416430,Low,Skill Gap,67,Low,Engineer,89
P022,E-commerce Platform,Development Phase,2023-05-04,2023-08-10,2023-08-16,98,98.0,3.0,Not Started,709628,Medium,Weather Issues,89,High,Tester,95
P023,E-commerce Platform,Site Preparation,2023-02-02,2023-04-05,,62,,,Not Started,1734990,High,Skill Gap,75,High,Engineer,80
P024,Bridge Construction,Deployment,2023-07-26,2023-09-13,2023-09-25,49,51.0,5.0,Completed,1942581,Very High,Requirement Uncertainty,63,Medium,Excavator,71
P025,Bridge Construction,Foundation Work,2023-03-29,2023-07-13,,106,,,In Progress,1656090,Very High,Skill Gap,54,Low,Excavator,78
P026,Office Construction,Roofing,2023-08-19,2023-12-15,2023-12-16,118,122.0,1.0,Not Started,1226503,High,Weather Issues,50,Low,Tester,74
P027,Office Construction,Roofing,2023-12-28,2024-04-11,2024-04-15,105,107.0,1.0,In Progress,1379272,Low,Requirement Uncertainty,61,High,Developer,93
P028,E-commerce Platform,Testing,2023-07-13,2023-09-07,,56,,,Not Started,1605596,Low,Equipment Breakdown,43,High,Engineer,81
P029,Office Construction,Framing,2023-10-13,2023-11-14,,32,,,In Progress,653497,Very High,Resource Unavailability,89,High,Crane,77
P030,Software Development,Framing,2023-05-30,2023-09-25,2023-10-02,118,123.0,0.0,Not Started,1999040,Low,Requirement Uncertainty,48,Low,Tester,91
P031,Mobile App Development,Requirement Analysis,2023-01-05,2023-02-15,2023-02-15,41,48.0,3.0,In Progress,79294,Medium,Skill Gap,77,High,Excavator,90
P032,Bridge Construction,Deployment,2023-10-02,2023-11-23,2023-11-27,52,62.0,2.0,In Progress,844821,Very High,Resource Unavailability,85,Medium,Tester,91
P033,Mobile App Development,Requirement Analysis,2023-03-03,2023-06-21,,110,,,Completed,1361685,Low,Weather Issues,87,Low,Tester,84
P034,Mobile App Development,Roofing,2023-01-31,2023-05-31,2023-05-31,120,121.0,1.0,Completed,1409421,Low,Skill Gap,86,Low,Excavator,95
P035,E-commerce Platform,Deployment,2023-01-27,2023-03-12,,44,,,Not Started,1911576,Medium,Requirement Uncertainty,83,Low,Designer,96
P036,Office Construction,System Design,2023-05-25,2023-07-05,2023-07-06,41,45.0,1.0,In Progress,1687273,Low,Material Delays,47,High,Tester,94
P037,Mobile App Development,Testing,2023-01-05,2023-04-16,2023-04-20,101,109.0,5.0,Not Started,1293908,Medium,Material Delays,46,Low,Crane,94
P038,Bridge Construction,Site Preparation,2023-08-08,2023-11-16,2023-11-16,100,109.0,3.0,Completed,1485058,Low,Resource Unavailability,86,High,Tester,77
P039,Mobile App Development,Roofing,2023-08-12,2023-10-10,,59,,,Completed,1283465,Very High,Material Delays,69,Medium,Engineer,74
P040,E-commerce Platform,Development Phase,2023-11-17,2024-02-29,2024-03-03,104,107.0,3.0,Completed,1802983,High,Weather Issues,47,Low,Tester,96
P041,Office Construction,Requirement Analysis,2023-02-22,2023-05-04,,71,,,In Progress,355960,Very High,Material Delays,82,High,Developer,99
P042,Mobile App Development,Structural Design,2023-10-06,2023-11-05,,30,,,Not Started,1389912,Medium,Material Delays,44,Low,Engineer,83
P043,Mobile App Development,Requirement Analysis,2023-05-26,2023-09-06,2023-09-13,103,106.0,5.0,In Progress,163859,Medium,Requirement Uncertainty,78,Medium,Engineer,81
P044,Mobile App Development,System Design,2023-10-16,2023-12-27,2024-01-02,72,74.0,2.0,Completed,963562,High,Skill Gap,43,High,Excavator,83
P045,Software Development,Site Preparation,2023-02-13,2023-06-09,2023-06-16,116,125.0,0.0,Not Started,626956,Medium,Weather Issues,77,Low,Developer,88
P046,Office Construction,Framing,2023-07-15,2023-11-07,,115,,,Completed,597923,Very High,Requirement Uncertainty,70,Medium,Designer,87
P047,Office Construction,System Design,2023-09-27,2024-01-10,,105,,,Not Started,777766,Low,Weather Issues,62,High,Developer,99
P048,E-commerce Platform,Framing,2023-08-29,2023-10-02,,34,,,Not Started,1664175,Medium,Skill Gap,63,High,Developer,79
P049,E-commerce Platform,Testing,2023-05-29,2023-09-03,2023-09-05,97,102.0,4.0,Completed,256530,Very High,Resource Unavailability,40,Low,Engineer,94
P050,Software Development,Structural Design,2023-01-28,2023-05-10,,102,,,In Progress,541230,High,Requirement Uncertainty,57,Low,Excavator,79
